query_id	result_count	time_ms	status	error_type
555	1000000	533.489	200	
556	274037	168.781	200	
557	177	27.751	200	
558	613	41.568	200	
559	230	50.034	200	
560	17	1.155	200	
561	16116	22.139	200	
562	141355	3433.493	200	
563	47	187.406	200	
564	6758	180.408	200	
565	875	61.573	200	
566	5617	41.000	200	
567	707	38.879	200	
568	2651	46.244	200	
569	1000000	152.138	200	
570	1000000	121.629	200	
571	1000000	130.080	200	
572	1000000	137.436	200	
573	1000000	123.808	200	
574	1000000	121.253	200	
575	1000000	123.057	200	
576	1000000	120.626	200	
577	1000000	149.969	200	
578	1397	14639.722	200	
579	31	14122.886	200	
580	0	61.949	200	
581	10	7098.650	200	
582	347	67.588	200	
583	48	157.930	200	
584	0	73.937	200	
585	2115	2126.075	200	
586	79	330.403	200	
587	4514	156.054	200	
588	96	1140.183	200	
589	83883	7423.292	200	
590	174	51.420	200	
591	0	23.304	200	
592	6405	218.853	200	
593	106	17.770	200	
594	1000000	422.320	200	
595	0	4873.529	200	
596	1131	3686.666	200	
597	1000000	6190.017	200	
598	190	4470.008	200	
599	278424	352.439	200	
600	330715	2827.588	200	
601	0	38.150	200	
602	0	65.371	200	
603	1	92.476	200	
604	0	137.222	200	
605	0	34.619	200	
606	0	38.709	200	
607	0	303.053	200	
608	4	111.407	200	
609	1	0.646	200	
610	0	0.266	200	
611	2	49.302	200	
612	1	8.323	200	
613	213	402.017	200	
614	3828	25.287	200	
615	473	954.820	200	
616	191	80.134	200	
617	0	9.590	200	
618	0	28.002	200	
619	1000000	395.221	200	
620	63145	113.350	200	
621	503279	3829.458	200	
622	217	20.470	200	
623	25696	69342.047	200	
624	289	9688.048	200	
625	162	78.426	200	
626	0	97.446	200	
627	143	59.524	200	
628	1000000	869.208	200	
629	0	131.736	200	
630	273881	315.196	200	
631	6	72.674	200	
632	0	84.029	200	
633	897	41.326	200	
634	3	109.135	200	
635	631	12.956	200	
636	7601	37.791	200	
637	39	2105.811	200	
638	0	26.758	200	
639	44705	128.239	200	
640	0	47.638	200	
641	0	25.906	200	
642	132	26.382	200	
643	134847	533.665	200	
644	456	180.262	200	
645	0	10.419	200	
646	1	25.735	200	
647	170	54.538	200	
648	4	55.043	200	
649	1000000	270.083	200	
650	0	14.024	200	
651	173	4.326	200	
652	0	8.670	200	
653	2	0.239	200	
654	59226	264.525	200	
655	19	121.413	200	
656	78	53.311	200	
657	89179	183619.053	200	
658	0	30.973	200	
659	1006	1.310	200	
660	27	11.007	200	
661	3	15.171	200	
662	5	25.846	200	
663	656	198.996	200	
664	14	33.226	200	
665	0	51.656	200	
666	23	35.688	200	
667	1000000	3564.907	200	
668	918903	1265.608	200	
669	134892	1154.477	200	
670	10	3270.851	200	
671	13	19.449	200	
672	633	12.417	200	
673	836255	519.570	200	
674	362799	542.799	200	
675	2	64.479	200	
676	1	19.186	200	
677	0	79.607	200	
678	1	1.429	200	
679	13	56.095	200	
680	2765	3710.060	200	
681	0	16.198	200	
682	0	124.321	200	
683	0	0.773	200	
684	341	19.444	200	
685	69	30.467	200	
686	83	41.111	200	
687	1516	40.893	200	
688	128967	638.921	200	
689	774	183.236	200	
690	61	79.480	200	
691	106428	419.648	200	
692	0	56.216	200	
693	134	46.666	200	
694	1	109.357	200	
695	0	70.966	200	
696	249	25115.352	200	
697	1440	50.495	200	
698	41510	127.623	200	
699	1	0.664	200	
700	43	94.983	200	
701	0	39.611	200	
702	6308	31.437	200	
703	1000000	293.448	200	
704	1000000	3244.466	200	
705	558	150.685	200	
706	179	4.986	200	
707	4679	410.849	200	
708	238	850.964	200	
709	1021	8709.675	200	
710	1000000	216.172	200	
711	1	45.766	200	
712	1	0.432	200	
713	0	17.264	200	
714	0	0.257	200	
715	0	1.357	200	
716	1000000	47282.950	200	
717	17	40.811	200	
718	0	88.417	200	
719	13	20.682	200	
720	1	54.386	200	
721	10	0.472	200	
722	276	206.670	200	
723	1	59.567	200	
724	0	42.835	200	
725	0	744.248	200	
726	0	41.429	200	
727	2574	230.951	200	
728	547569	358.992	200	
729	49418	543.140	200	
730	0	24.164	200	
731	22478	3194.398	200	
732	0	18.464	200	
733	0	61.085	200	
734	8	110.316	200	
735	1000000	28437.465	200	
736	3015	2782.261	200	
737	12	2.680	200	
738	84	13.718	200	
739	339646	57583.748	200	
740	3	40.395	200	
741	513	55.137	200	
742	45891	637.956	200	
743	609742	782.058	200	
744	67464	50.048	200	
745	7	23.575	200	
746	233	11.806	200	
747	25401	40.711	200	
748	115	40.647	200	
749	2	313.225	200	
750	0	1.844	200	
751	0	113.781	200	
752	0	1.059	200	
753	4680	5.480	200	
754	4	0.321	200	
755	0	45.082	200	
756	152	152.319	200	
757	13633	273.292	200	
